PROC HitsPMain
ENDPROC
PROC Tagaosa_moot
783,MoveJ,1055.61,629.40,456.22
784,ArcLStart,1035.45,620.56,437.43
785,ArcL,1009.87,622.25,387.87
786,ArcL,995.71,624.48,359.17
787,ArcL,985.56,624.28,340.01
788,ArcL,950.79,627.22,272.25
789,ArcL,939.60,626.97,249.02
790,ArcL,931.60,627.03,234.71
792,ArcLEnd,920.38,624.98,214.95
793,MoveJ,946.78,697.13,173.80
795,MoveJ,1045.27,688.20,245.16
798,MoveJ,1170.61,334.72,242.62
799,MoveJ,1006.85,163.11,357.36
800,ArcLStart,971.01,126.32,395.63
801,ArcL,935.89,127.49,323.60
803,ArcL,929.13,128.99,252.15
804,ArcL,926.36,128.21,221.48
805,ArcL,923.62,128.14,218.22
806,ArcLEnd,920.25,128.85,213.47
807,MoveJ,916.53,135.19,190.85
809,MoveJ,1075.67,191.40,221.02
812,MoveJ,863.32,-235.23,233.81
815,MoveJ,1123.65,95.51,356.45
816,MoveJ,1110.51,428.94,284.26
817,MoveJ,1006.23,571.97,381.60
818,ArcLStart,974.01,603.01,399.65
819,ArcL,937.98,603.78,327.86
820,ArcL,930.89,604.98,254.48
821,ArcL,928.18,605.49,227.69
823,ArcLEnd,920.83,606.71,220.46
824,MoveJ,927.14,599.07,202.42
826,MoveJ,1082.56,312.66,248.06
829,MoveJ,1102.60,-17.06,440.83
830,MoveJ,1030.08,10.02,426.99
831,ArcLStart,1027.59,107.27,438.64
832,ArcL,1001.63,106.87,386.31
833,ArcL,991.27,105.66,364.38
834,ArcL,932.80,107.34,250.67
835,ArcLEnd,915.94,107.06,215.57
836,MoveJ,930.78,81.45,225.70
838,MoveJ,1155.64,-71.28,272.47
841,MoveJ,311.03,89.38,1075.54
845,MoveJ,1166.72,200.76,754.22
846,MoveJ,768.08,246.74,591.99
847,MoveJ,714.09,147.89,358.50
848,ArcLStart,728.05,133.48,311.58
849,ArcL,731.78,132.97,313.87
850,ArcL,741.60,132.83,314.58
851,ArcL,910.71,134.35,280.92
852,ArcL,922.12,135.61,281.18
853,ArcLEnd,922.62,141.92,281.42
857,MoveJ,875.14,205.61,382.45
860,MoveJ,865.35,316.77,434.79
861,ArcLStart,926.89,602.47,281.95
862,ArcL,926.87,568.08,279.51
863,ArcL,925.93,323.18,279.50
864,ArcL,925.26,220.26,279.26
865,ArcLEnd,923.08,136.67,281.83
866,MoveJ,835.54,241.64,426.42
872,MoveJ,789.61,533.16,507.65
873,MoveJ,647.14,569.61,433.86
874,ArcLStart,727.96,611.07,312.95
875,ArcL,732.79,610.32,317.12
876,ArcL,737.79,609.46,317.60
877,ArcL,848.31,608.76,296.63
878,ArcL,912.96,610.64,282.06
879,ArcLEnd,922.77,607.32,283.12
880,MoveJ,629.08,382.85,564.19
882,MoveJ,687.39,482.34,438.81
883,MoveJ,702.69,575.43,343.37
884,ArcLStart,728.60,610.74,312.98
885,ArcL,720.63,611.32,299.17
886,ArcL,687.24,612.19,231.30
887,ArcL,665.17,611.16,193.43
888,ArcLEnd,661.51,603.60,190.16
893,MoveJ,549.09,512.65,343.03
895,MoveJ,610.18,311.79,265.60
896,ArcLStart,661.41,139.64,189.28
897,ArcL,662.37,506.32,187.42
898,ArcLEnd,663.45,604.68,191.14
901,MoveJ,617.30,284.42,476.03
903,MoveJ,651.45,220.87,434.81
904,ArcLStart,728.67,134.77,313.36
905,ArcL,724.98,135.31,307.57
906,ArcL,671.99,137.01,206.82
907,ArcL,664.98,136.99,190.97
908,ArcLEnd,664.39,139.97,190.67
909,MoveJ,621.65,263.46,419.87
911,MoveJ,1209.88,107.35,1002.71
916,MoveJ,463.28,65.52,1004.63
919,MoveJ,196.38,248.72,1103.93
920,MoveJ,61.15,515.96,761.72
921,MoveJ,-48.26,518.22,717.52
922,MoveJ,-178.59,455.25,672.83
923,MoveJ,-180.79,492.80,657.18
924,ArcLStart,-239.25,512.85,655.67
926,ArcLEnd,-35.01,617.08,549.75
927,MoveL,53.79,568.86,617.64
928,MoveJ,35.56,572.76,595.15
929,ArcLStart,-26.02,618.24,544.95
930,ArcLEnd,135.95,615.43,462.61
931,MoveJ,177.09,497.45,621.56
936,MoveJ,404.65,497.01,626.01
937,MoveJ,512.35,464.70,588.20
938,MoveJ,519.14,513.74,923.36
939,MoveJ,461.61,590.34,346.14
940,ArcLStart,362.37,616.29,341.75
941,ArcLEnd,521.04,611.94,261.93
942,MoveJ,520.88,573.24,288.35
